departamento,fecha,temp_celsius
Vichada,2024-06-12,25.201475814588065
Amazonas,2024-06-13,25.84652705552557
Antioquia,2024-06-13,22.328435556477853
Arauca,2024-06-13,24.899936722164057
Atlantico,2024-06-13,27.78738922884609
Bolivar,2024-06-13,26.02764443067003
Boyaca,2024-06-13,15.981284893454129
Buenaventura,2024-06-13,
Caldas,2024-06-13,19.868503406696775
Caqueta,2024-06-13,24.88075580979593
Casanare,2024-06-13,25.848470609536115
Cauca,2024-06-13,18.636641253779977
Cesar,2024-06-13,25.624856496024144
Choco,2024-06-13,24.629709999011858
Cordoba,2024-06-13,26.485896436909496
Cundinamarca,2024-06-13,17.9058971864547
Guainia,2024-06-13,25.485601592454522
Guajira,2024-06-13,27.421460496325164
Guaviare,2024-06-13,25.619065701311964
Huila,2024-06-13,18.613984988015275
Magdalena,2024-06-13,25.75336411926352
Meta,2024-06-13,25.128436391815868
Narino,2024-06-13,20.415107103359396
Norte De Santander,2024-06-13,21.81558251624734
Putumayo,2024-06-13,24.186786187154816
Quindio,2024-06-13,16.60297725886913
Risaralda,2024-06-13,18.428530458269314
San Andres Y Providencia,2024-06-13,
Santander,2024-06-13,21.747331876301857
Sucre,2024-06-13,27.152420416764286
Tolima,2024-06-13,19.9610092842265
Valle Del Cauca,2024-06-13,19.711284750537374
Vaupes,2024-06-13,25.60811060237531
Vichada,2024-06-13,25.4727146271062
Amazonas,2024-06-14,26.116578832338995
Antioquia,2024-06-14,21.741711961681737
Arauca,2024-06-14,24.401640166608498
Atlantico,2024-06-14,27.6586541175114
Bolivar,2024-06-14,25.799088445221898
Boyaca,2024-06-14,15.741441385613511
Buenaventura,2024-06-14,
Caldas,2024-06-14,19.5704209926489
Caqueta,2024-06-14,24.613670834072344
Casanare,2024-06-14,25.283164102372716
Cauca,2024-06-14,18.31503448543223
Cesar,2024-06-14,25.67585944638606
Choco,2024-06-14,23.928116990568846
Cordoba,2024-06-14,25.943192734897675
Cundinamarca,2024-06-14,17.80705303316633
Guainia,2024-06-14,25.185492750566606
Guajira,2024-06-14,27.43907858764114
Guaviare,2024-06-14,25.026850957992206
Huila,2024-06-14,18.486482897697663
Magdalena,2024-06-14,25.584933636698317
Meta,2024-06-14,24.2766157333998
Narino,2024-06-14,20.060008109832182
Norte De Santander,2024-06-14,21.641104856756503
Putumayo,2024-06-14,24.005437929179532
Quindio,2024-06-14,16.036774692529644
Risaralda,2024-06-14,17.799935510334304
San Andres Y Providencia,2024-06-14,
Santander,2024-06-14,21.580850384614802
Sucre,2024-06-14,26.77877293632529
Tolima,2024-06-14,19.95133886209662
Valle Del Cauca,2024-06-14,19.413992581106378
Vaupes,2024-06-14,25.29745821577961
Vichada,2024-06-14,25.589089487167968
Amazonas,2024-06-15,25.921868194881604
Antioquia,2024-06-15,20.971794832170545
Arauca,2024-06-15,24.132959647586183
Atlantico,2024-06-15,26.98361347558879
Bolivar,2024-06-15,25.253747175439884
Boyaca,2024-06-15,15.332528821800798
Buenaventura,2024-06-15,
Caldas,2024-06-15,18.780051568058838
Caqueta,2024-06-15,24.464905358582644
Casanare,2024-06-15,24.985329437245976
Cauca,2024-06-15,17.816501676551617
Cesar,2024-06-15,24.143558181404096
Choco,2024-06-15,23.32654794330536
Cordoba,2024-06-15,25.224946026366965
Cundinamarca,2024-06-15,17.150396556928722
Guainia,2024-06-15,25.62631756407867
Guajira,2024-06-15,26.395716106770994
Guaviare,2024-06-15,24.970344719930484
Huila,2024-06-15,18.03289002027125
Magdalena,2024-06-15,24.685388698134734
Meta,2024-06-15,24.07891843966132
Narino,2024-06-15,19.618046882065347
Norte De Santander,2024-06-15,21.215164940729295
Putumayo,2024-06-15,23.40891411614499
Quindio,2024-06-15,15.600623139996678
Risaralda,2024-06-15,17.555250649642705
San Andres Y Providencia,2024-06-15,
Santander,2024-06-15,20.84332292956141
Sucre,2024-06-15,26.548844140923713
Tolima,2024-06-15,18.633204466520475
Valle Del Cauca,2024-06-15,18.9249011401906
Vaupes,2024-06-15,25.562459984189733
Vichada,2024-06-15,25.62630529683828
Amazonas,2024-06-16,25.595316589731944
Antioquia,2024-06-16,21.06651146369834
Arauca,2024-06-16,24.90298212808034
Atlantico,2024-06-16,27.336160456086983
Bolivar,2024-06-16,25.15838259033319
Boyaca,2024-06-16,15.165738198390033
Buenaventura,2024-06-16,
Caldas,2024-06-16,18.601827153909824
Caqueta,2024-06-16,23.968824653742956
Casanare,2024-06-16,25.69046487462745
Cauca,2024-06-16,18.261906484984983
Cesar,2024-06-16,24.522430785199195
Choco,2024-06-16,23.750187628294942
Cordoba,2024-06-16,25.031996784273474
Cundinamarca,2024-06-16,16.678987967820287
Guainia,2024-06-16,26.10398739406101
Guajira,2024-06-16,25.747230261609804
Guaviare,2024-06-16,24.851346889940903
Huila,2024-06-16,17.790534591398373
Magdalena,2024-06-16,24.938703705473216
